task,num_simulations,num_observation,algorithm,C2ST,C2ST_Z,MMD,LC2ST-accuracy-z,LC2ST-probasMean-z,exp-LC2ST-accuracy-z,exp-LC2ST-probasMean-z,LC2ST-accuracy-theta,LC2ST-probasMean-theta,exp-LC2ST-accuracy-theta,exp-LC2ST-probasMean-theta,RT,NLTP,folder
gaussian_mixture,10⁵,2,NPE,0.50655,0.57905,0.00080132484,0.6085,0.62235147,0.74065,0.74355,0.6507,0.60905856,0.7461,0.7438,21.87571411132813,-1.6446619033813477,1
gaussian_mixture,10⁵,9,NPE,0.5652,0.5741,0.00827992,0.6396,0.71363586,0.8039,0.8023,0.6487,0.7174008,0.80875,0.8061,22.41775105794271,1.2077850103378296,8
gaussian_mixture,10⁵,5,NPE,0.52075,0.559,0.0015296936,0.5302,0.6441271,0.73435,0.734,0.5706,0.66779125,0.7352,0.73515,16.813660685221354,2.757887125015259,4
gaussian_mixture,10⁵,4,NPE,0.51775,0.5489,0.001039505,0.561,0.6037824,0.7022,0.70355,0.5914,0.62301576,0.70265,0.7025,23.91579386393229,-0.8460754752159119,3
gaussian_mixture,10⁵,3,NPE,0.5373,0.55265,0.0015081167,0.5967,0.6764038,0.7701,0.77115,0.5857,0.6809598,0.7683,0.76895,36.24034016927083,-0.1608132869005203,2
gaussian_mixture,10⁵,6,NPE,0.51465,0.5356,0.001149416,0.578,0.6744094,0.76505,0.76425,0.5704,0.6799741,0.7615,0.76215,18.52467854817708,3.8964691162109375,5
gaussian_linear,10³,10,NPE,0.72175,0.68715,0.03668022,0.7447,0.6513051,0.67335,0.67565,0.6948,0.6246787,0.6788,0.6788,0.1899258295694987,-3.956271171569824,9
gaussian_linear,10³,1,NPE,0.76295,0.72195,0.059621096,0.7012,0.6676494,0.7195,0.7191,0.7054,0.68561465,0.73085,0.7271,0.3784668286641439,2.973247528076172,0
gaussian_linear,10³,8,NPE,0.81885,0.785,0.09136653,0.8406,0.7969537,0.7111,0.7094,0.7771,0.73710763,0.7212,0.71935,0.5013887087504069,4.810713768005371,7
gaussian_linear,10³,7,NPE,0.714,0.67705,0.04789996,0.7,0.66928357,0.72605,0.72485,0.6621,0.6503874,0.7171,0.7188,0.1958553791046142,2.11068058013916,6
gaussian_linear,10³,2,NPE,0.7519,0.73315,0.06277442,0.7497,0.69118774,0.7256,0.7251,0.6758,0.6786439,0.72825,0.72985,1.522528839111328,-0.7207632064819336,1
gaussian_linear,10³,9,NPE,0.71105,0.6877,0.034899235,0.6519,0.6238102,0.67285,0.6708,0.6049,0.58062184,0.6875,0.68505,0.4191168785095215,1.794023513793945,8
gaussian_linear,10³,5,NPE,0.68425,0.6547,0.0333966,0.6359,0.6244133,0.70625,0.70485,0.6707,0.64230347,0.714,0.713,0.5491374969482422,-0.9146976470947266,4
gaussian_linear,10³,4,NPE,0.8504,0.82445,0.10858202,0.8212,0.78508484,0.7674,0.766,0.794,0.75005406,0.77015,0.77045,0.684045155843099,6.420489311218262,3
gaussian_linear,10³,3,NPE,0.6775,0.6417,0.026249766,0.7096,0.6288127,0.6819,0.6816,0.7275,0.648475,0.6948,0.69655,0.4374238014221191,6.328806877136231,2
gaussian_linear,10³,6,NPE,0.6951,0.67025,0.037814975,0.7279,0.6593235,0.70365,0.70515,0.7228,0.69003564,0.7099,0.71025,0.7944599151611328,1.4464635848999023,5
two_moons,10⁵,10,NPE,0.52025,0.60705,0.0020080805,0.6749,0.52457803,0.53725,0.536,0.3929,0.5054631,0.51605,0.51155,18.246480305989586,-3.502693653106689,9
two_moons,10⁵,1,NPE,0.52475,0.52685,-1.9550323e-05,0.531,0.50947976,0.5565,0.55115,0.5774,0.49658093,0.52355,0.53855,43.5159912109375,-3.747443199157715,0
two_moons,10⁵,8,NPE,0.5188,0.54955,0.00055396557,0.5651,0.5101596,0.532,0.53285,0.3688,0.49542814,0.5222,0.5181,43.6917724609375,-4.146903038024902,7
two_moons,10⁵,7,NPE,0.51695,0.5935,0.0013905764,0.5798,0.5097844,0.52615,0.52375,0.4233,0.49503142,0.5093,0.5153,24.013728841145834,-4.062577724456787,6
two_moons,10⁵,2,NPE,0.51825,0.51835,0.00011408329,0.4344,0.50519025,0.55155,0.5457,0.358,0.48742938,0.52655,0.5256,38.63641357421875,-2.042632341384888,1
two_moons,10⁵,9,NPE,0.5337,0.53515,0.0005250573,0.5682,0.51005304,0.53425,0.53425,0.3584,0.49748507,0.5131,0.50825,21.578440348307293,-4.518449783325195,8
two_moons,10⁵,5,NPE,0.7114,0.71325,0.00062429905,0.4823,0.5036578,0.54255,0.53945,0.5674,0.5100352,0.5064,0.51435,30.43029174804688,-4.829376220703125,4
two_moons,10⁵,4,NPE,0.53785,0.53985,0.0008559823,0.5778,0.5040535,0.527,0.5306,0.514,0.4996983,0.5181,0.51895,25.15174560546875,-3.1971640586853027,3
two_moons,10⁵,3,NPE,0.53925,0.56185,0.00010573864,0.5552,0.5028572,0.53075,0.52785,0.4021,0.49887243,0.5153,0.5199,37.27965087890625,-3.7741663455963135,2
two_moons,10⁵,6,NPE,0.51495,0.5449,-1.7762184e-05,0.5571,0.5120422,0.544,0.54115,0.5534,0.4967219,0.5208,0.51945,22.55881551106771,-4.071856021881104,5
